STATION,SITE_CODE,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVDATUM,ELEVACC,COUNTY_NAME,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,WDL,COMMENT
09N03E08C004M,386464N1216675W004,Conaway Extensometer screen 535-545 depth 716 ft bgs,CON Ext and P4 deep,38.646430000,-121.667384000,NAD83,"Survey, 1m",27.500,,R.L. AT SURFACE,Yolo,5-021.67,Yolo,545.00000,Observation,Part of a nested/multi-completion well,WCR1991-012780,https://wdl.water.ca.gov/StationDetails.aspx?Station=09N03E08C004M,"09N03E08C004M is the extensometer and part of a well cluster.  Other wells in the cluster are 09N03E08C001,2,3M (nested well)."
11N01E24Q008M,,Zamora Land Subsidence Extensometer depth 1000 ft bgs,ZAM Ext,38.779855000,-121.812422000,NAD83,"Survey, 1m",42.000,,EST.CONTOUR <2M.,Yolo,,,,,,,https://wdl.water.ca.gov/StationDetails.aspx?Station=11N01E24Q008M,"11N01E24Q008M is the extensometer well that accompanies a nested monitoring well.  Wells in the nest are 11N01E24Q004,5,6,7M."
11N04E04N005M,,Sutter Land Subsidence Extensometer depth 1003 ft bgs,SUT Ext,38.823863000,-121.543073000,NAD83,"GPS, 10m",27.000,,EST.CONTOUR <2M.,Sutter,,,,,,,https://wdl.water.ca.gov/StationDetails.aspx?Station=11N04E04N005M,"11N04E04N005M is the extensometer well that accompanies a nested monitoring well.  Wells in the nest are 11N04E04N001,2,3,4M."
16N02W05B001M,392753N1221057W001,COL_05B001M screen interval 730 to 750 ft bgs,Screen: 730-750 ft,39.275273000,-122.105677000,NAD83,Unknown,65.000,,Unknown,Colusa,5-021.52,Colusa,797.00000,Observation,Part of a nested/multi-completion well,WCR2003-009690,https://wdl.water.ca.gov/StationDetails.aspx?Station=16N02W05B001M,
17N02W09H002M,393417N1220838W001,COL_09H002M screen interval 779 to 800 bgs,Screen: 779-800 ft,39.341681000,-122.083787000,NAD83,Unknown,67.000,,Unknown,Colusa,5-021.52,Colusa,806.00000,Observation,Part of a nested/multi-completion well,WCR2003-009204,https://wdl.water.ca.gov/StationDetails.aspx?Station=17N02W09H002M,
18N01E35L001M,393678N1218288W001,BUT_35L001M screen interval 816 to 836 bgs,Screen: 816-836 ft,39.367445000,-121.827879000,NAD83,Unknown,70.000,,Unknown,Butte,5-021.70,Butte,840.00000,Observation,Single Well,726837,https://wdl.water.ca.gov/StationDetails.aspx?Station=18N01E35L001M,
19N01E35B002M,394634N1218278W001,BUT_35B002M screen interval 930 to 950 bgs,Screen: 930-950 ft,39.463439000,-121.827750000,NAD83,Unknown,86.500,,Unknown,Butte,5-021.70,Butte,980.00000,Observation,Part of a nested/multi-completion well,WCR2003-009257,https://wdl.water.ca.gov/StationDetails.aspx?Station=19N01E35B002M,
19N02W08Q001M,395157N1221122W001,GLE_08Q001M screen interval 856 to 876 bgs,Screen: 856-876 ft,39.515700000,-122.112233000,NAD83,Unknown,108.360,,Unknown,Glenn,5-021.52,Colusa,910.00000,Observation,Part of a nested/multi-completion well,WCR2004-009692,https://wdl.water.ca.gov/StationDetails.aspx?Station=19N02W08Q001M,
20N01E18L001M,395771N1219082W001,BUT_18L001M screen interval 767 to 894 bgs,Screen: 767-894 ft,39.577074000,-121.908207000,NAD83,Unknown,107.350,,Unknown,Butte,5-021.70,Butte,940.00000,Observation,Part of a nested/multi-completion well,WCR1999-008135,https://wdl.water.ca.gov/StationDetails.aspx?Station=20N01E18L001M,
21N02W33M001M,396299N1221007W001,GLE_33M001M screen interval 869 to 890 bgs,Screen: 869-890 ft,39.629906000,-122.100662000,NAD83,Unknown,149.000,,Unknown,Glenn,5-021.52,Colusa,929.00000,Observation,Part of a nested/multi-completion well,WCR2002-009790,https://wdl.water.ca.gov/StationDetails.aspx?Station=21N02W33M001M,
22N02W15C002M,397634N1220771W001,GLE_15C002M screen interval 759 to 780 bgs,Screen: 759-780 ft,39.763431000,-122.077156000,NAD83,Unknown,189.300,,Unknown,Glenn,5-021.51,Corning,825.00000,Observation,Part of a nested/multi-completion well,WCR2003-009798,https://wdl.water.ca.gov/StationDetails.aspx?Station=22N02W15C002M,
