temperature_c,humidity_pct,distance_mm_day,tilt_deg,risk_level
26.94,65.22,0.04,-0.831,SAFE
29.57,70.67,0.15,0.654,SAFE
24.3,48.6,2.824,0.317,WARNING
24.3,72.11,0.082,0.136,SAFE
29.74,40.0,0.089,-0.677,SAFE
27.3,57.44,0.129,0.486,SAFE
23.59,59.14,0.095,-0.604,SAFE
26.63,72.6,0.147,-0.082,SAFE
23.61,65.27,4.251,1.158,WARNING
23.6,48.13,0.138,-0.529,SAFE
25.73,53.18,0.252,-1.258,SAFE
19.26,67.38,0.147,-0.842,SAFE
19.83,64.05,0.105,0.795,SAFE
23.31,58.05,0.123,0.204,SAFE
21.96,59.23,0.092,-0.103,SAFE
25.94,73.35,0.169,-0.407,SAFE
22.28,58.79,0.228,0.388,SAFE
20.76,63.94,0.069,-0.679,SAFE
29.4,91.04,2.401,0.245,WARNING
24.32,47.92,0.207,-0.585,SAFE
25.2,42.78,0.123,-0.718,SAFE
20.73,74.4,0.136,-0.51,SAFE
23.37,56.86,1.084,-0.3,WARNING
25.33,61.18,0.433,-0.039,SAFE
21.55,55.63,0.112,0.188,SAFE
26.13,61.88,1.944,-2.951,WARNING
23.2,84.18,0.552,-0.646,WARNING
24.12,74.63,0.144,-0.313,SAFE
23.19,75.35,0.062,1.204,SAFE
30.56,48.01,1.197,-0.864,WARNING
24.96,51.19,0.134,0.13,SAFE
21.83,40.0,0.18,1.196,SAFE
27.47,55.29,0.105,-1.05,SAFE
21.34,76.48,0.114,0.315,SAFE
25.63,71.2,0.072,-0.642,SAFE
19.12,62.34,0.137,-0.404,SAFE
21.02,64.73,0.153,-0.642,SAFE
25.59,56.73,1.113,-0.585,WARNING
27.22,67.46,1.581,2.178,WARNING
25.51,74.19,0.123,0.676,SAFE
24.65,45.61,0.062,0.881,SAFE
24.1,68.6,0.138,0.394,SAFE
20.56,76.19,0.137,-1.285,SAFE
22.84,60.02,0.219,0.316,SAFE
23.62,73.41,0.281,0.858,SAFE
28.17,95.0,1.613,-0.683,WARNING
26.03,63.75,0.282,0.772,SAFE
19.71,69.72,0.284,0.563,SAFE
25.97,56.14,0.23,1.482,SAFE
23.84,67.18,0.175,-0.334,SAFE
22.97,70.52,0.066,-0.878,SAFE
26.84,67.34,0.176,-0.289,SAFE
28.09,52.76,0.197,1.148,SAFE
